id_oferty,dzielnica,metraz_m2,liczba_pokoi,pietro,rok_budowy,ma_balkon,ma_miejsce_parkingowe,odleglosc_od_centrum_km,cena_pln
10001,Białołęka,69.1,4,3,1995,True,False,4.52,948319.0
10002,Praga-Południe,29.9,1,4,2016,True,False,2.13,408287.0
10003,Wilanów,90.9,5,4,2005,True,True,14.62,1464602.0
10004,Targówek,29.8,2,3,2016,False,False,0.5,390717.0
10005,Ursynów,61.7,2,7,1997,True,False,6.38,764932.0
10006,Białołęka,38.4,3,6,1966,True,True,5.58,427097.0
10007,Ochota,53.6,3,8,1952,True,False,5.67,554464.0
10008,Śródmieście,62.2,3,6,1984,True,True,10.34,1175695.0
10009,Białołęka,62.1,3,9,2009,False,False,2.4,995279.0
10010,Wilanów,64.3,4,0,2014,True,False,2.3,1348134.0
10011,Wilanów,90.5,4,6,1983,True,False,10.36,1293015.0
10012,Targówek,65.0,4,0,1997,False,False,7.96,702578.0
10013,Ursynów,49.6,3,6,1992,True,True,12.92,643515.0
10014,Praga-Południe,76.2,4,9,1992,True,False,4.68,1230474.0
10015,Targówek,81.2,5,7,1978,True,True,4.58,913085.0
10016,Targówek,28.0,1,10,1968,True,False,9.68,290884.0
10017,Śródmieście,68.1,4,8,1974,True,False,11.81,1166943.0
10018,Bemowo,70.4,4,11,1958,False,False,2.15,935169.0
10019,Ursynów,48.5,3,2,1974,True,True,17.37,527606.0
10020,Wola,85.3,4,3,1951,False,False,3.9,933907.0
10021,Targówek,51.7,3,3,2005,False,False,6.34,670825.0
10022,Bemowo,57.8,3,11,1985,True,False,7.88,842987.0
10023,Wola,51.2,3,8,2023,True,True,10.52,893884.0
10024,Ursynów,55.3,3,6,1974,True,True,8.7,671329.0
10025,Mokotów,30.9,1,2,1987,True,True,5.76,538239.0
10026,Ochota,23.3,1,9,1988,False,False,8.65,253464.0
10027,Bemowo,90.1,5,4,1951,True,False,4.21,978024.0
10028,Bielany,36.4,2,6,2017,True,False,3.65,633158.0
10029,Mokotów,33.2,2,7,1955,True,True,5.63,528960.0
10030,Wilanów,18.0,1,0,2022,True,True,11.43,339925.0
10031,Wilanów,40.9,1,11,2019,True,False,7.77,864443.0
10032,Ochota,25.9,1,1,2000,True,False,3.97,487612.0
10033,Śródmieście,91.1,5,6,2000,True,False,5.17,1993678.0
10034,Białołęka,77.2,3,10,2007,True,False,9.99,760947.0
10035,Praga-Południe,39.9,2,1,1990,True,True,6.54,426911.0
10036,Bielany,104.6,6,6,2006,True,False,6.03,1717731.0
10037,Śródmieście,76.6,5,8,1957,True,False,6.12,1295231.0
10038,Ursynów,47.9,3,10,1958,True,False,2.24,722406.0
10039,Śródmieście,18.0,1,1,1995,True,True,1.19,386263.0
10040,Białołęka,105.4,6,6,2001,True,True,10.72,1293404.0
10041,Ursynów,24.4,1,3,2019,False,True,5.61,441997.0
10042,Bielany,18.8,1,10,1965,True,False,6.23,199602.0
10043,Białołęka,77.5,4,1,2016,True,True,4.06,1276775.0
10044,Wola,108.7,5,6,1976,False,True,13.05,1404555.0
10045,Praga-Południe,85.5,5,4,1990,False,True,3.81,1154816.0
10046,Bielany,67.4,4,0,1985,True,False,4.5,780111.0
10047,Wola,68.1,4,4,1991,True,True,10.59,1080845.0
10048,Ochota,73.8,4,11,1970,True,False,3.9,1261111.0
10049,Bielany,71.7,4,11,1998,True,True,6.29,1109197.0
10050,Ochota,61.2,4,2,2015,False,True,1.89,1036320.0
10051,Ursynów,57.3,3,6,1994,True,False,2.83,982856.0
10052,Wola,53.6,3,5,1997,True,True,1.65,929593.0
10053,Praga-Południe,38.4,2,7,2017,True,True,5.79,693064.0
10054,Białołęka,537.35692966899,2,4,2010,True,True,6.05,595626.0
10055,Targówek,18.0,1,1,1997,True,False,6.29,236180.0
